Doc-IDs,Reference-Code,Paper-Type
10.1016/j.atmosenv.2014.11.071,C,P
10.1016/j.atmosres.2011.01.008,C,P
10.1016/j.atmosres.2012.09.014,C,P
10.1016/j.atmosres.2014.03.018,C,P
10.1016/j.atmosres.2015.04.015,C,P
10.1016/j.compag.2014.07.007,C,P
10.1016/j.ecss.2012.05.017,C,P
10.1016/j.energy.2012.03.009,C,P
10.1016/j.envpol.2013.01.006,C,P
10.1016/j.envsoft.2015.12.021,C,P
10.1016/j.gloenvcha.2015.01.005,C,P
10.1016/j.jastp.2011.04.020,C,P
10.1016/j.jvolgeores.2015.11.001,C,P
10.1016/j.pce.2009.12.009,C,P
10.1016/j.proeng.2015.08.306,C,P
10.1016/j.renene.2009.11.022,C,P
10.1029/2009JD013472,C,P
10.1029/2010JD015013,C,P
10.1029/2012JD017684,C,P
10.1029/2012JD018139,C,P
10.1063/1.4929957,C,P
10.1080/00223131.2004.10875754,C,P
10.1080/00223131.2008.10875948,C,P
10.1080/10962247.2015.1087892,C,P
10.1109/CLUSTER.2011.80,C,P
10.1109/icbbe.2011.5781576,C,P
10.1109/IGARSS.2010.5649634,C,P
10.1109/IGARSS.2011.6050174,C,P
10.1109/IGARSS.2014.6946997,C,P
10.1109/IGARSS.2015.7326569,C,P
10.1109/IGARSS.2015.7326891,C,P
10.1109/INCOS.2010.67,C,P
10.1109/JSTARS.2012.2195773,C,P
10.1109/LGRS.2010.2050135,C,P
10.1109/MicroRad.2014.6878942,C,P
10.1109/OCEANS.2012.6404830,C,P
10.1109/TGRS.2007.908302,C,P
10.1109/TGRS.2009.2028882,C,P
10.1109/TGRS.2010.2093903,C,P
